time of flip	flipper	flip result
08:46:41	Pierre	H
08:46:56	Kylen	T
08:47:08	Illana	T
08:47:25	Philip	T
08:47:43	Kylen	H
08:48:02	Maryann	H
08:48:21	Jessica	H
08:48:25	Steven	T
08:48:34	Andrew	T
08:48:40	Maryann	T
08:48:42	Reut	T
08:48:58	Helen	T
08:49:13	Lindsay	T
08:49:27	Illana	H
08:49:34	Maryann	H
08:49:54	Henk	H
08:50:10	Pierre	H
08:50:30	Megan	T
08:50:39	Andrew	H
08:50:43	Helen	H
08:51:01	Reut	H
08:51:13	Philip	T
08:51:31	Kylen	H
08:51:39	Philip	H
08:52:00	Amnon	T
08:52:19	Jessica	H
08:52:35	Vuli	H
08:52:53	Illana	H
08:53:00	Steven	H
08:53:06	Amnon	T
08:53:16	Helen	H
08:53:36	Amnon	H
08:53:52	Claire	H
08:54:05	Maryann	T
08:54:12	Steven	T
08:54:21	Reut	H
08:54:24	Illana	H
08:54:45	Gavin	H
08:55:00	Gertrude	H
08:55:19	Gavin	T
08:55:35	Illana	T
08:55:36	Maryann	T
08:55:55	Helen	T
08:55:56	Gertrude	H
08:56:10	Amnon	H
08:56:23	Megan	H
08:56:30	Henk	T
08:56:37	Pierre	H
08:56:41	Reut	T
08:56:53	Megan	H
08:56:57	Amnon	H
08:57:06	Vuli	H
08:57:18	Jessica	H
08:57:22	Jessica	T
08:57:43	Andrew	H
08:57:50	Andrew	H
08:58:06	Lindsay	H
08:58:07	Kylen	T
08:58:21	Illana	T
08:58:30	Claire	H
08:58:36	Jessica	H
08:58:49	Jessica	T
08:58:52	Lindsay	T
08:58:58	Henk	T
08:58:59	Abe	H
08:59:06	Steven	H
08:59:16	Abe	T
08:59:18	Illana	H
08:59:37	Helen	H
08:59:47	Nandi	T
09:00:06	Abe	H
09:00:23	Reut	T
09:00:24	Gavin	T
09:00:26	Jessica	H
09:00:29	Illana	T
09:00:34	Claire	H
09:00:46	Pierre	T
09:01:02	Vuli	T
09:01:24	Steven	T
09:01:28	Vuli	T
09:01:36	Abe	H
09:01:41	Lindsay	H
09:01:43	Steven	T
09:01:49	Abe	T
09:01:58	Gavin	H
09:02:12	Andrew	T
09:02:22	Andrew	T
09:02:23	Amnon	T
09:02:26	Claire	T
09:02:43	Gavin	H
09:02:56	Kylen	H
09:03:02	Henk	H
09:03:16	Jessica	T
09:03:24	Lindsay	T
09:03:27	Illana	H
09:03:32	Vuli	T
09:03:46	Megan	H
09:04:04	Illana	T
09:04:18	Gavin	T
09:04:26	Helen	H
09:04:36	Amnon	H
09:04:53	Helen	T
09:05:08	Andrew	T
09:05:09	Gavin	T
09:05:21	Andrew	H
09:05:30	Kylen	T
09:05:47	Kylen	H
09:05:58	Amnon	H
09:06:14	Amnon	H
09:06:24	Amnon	T
09:06:46	Megan	H
09:06:48	Amnon	T
09:07:01	Pierre	T
09:07:04	Helen	H
09:07:10	Andrew	H
09:07:18	Illana	T
09:07:34	Gertrude	H
09:07:47	Jessica	T
09:07:54	Reut	H
09:08:09	Philip	H
09:08:29	Illana	H
09:08:31	Gavin	H
09:08:42	Nandi	H
09:08:45	Gertrude	T
09:08:48	Lindsay	T
09:08:55	Henk	H
09:08:59	Maryann	T
09:09:00	Vuli	H
09:09:17	Philip	H
09:09:21	Jessica	T
09:09:41	Illana	H
09:09:58	Lindsay	T
09:10:08	Kylen	T
09:10:23	Pierre	H
09:10:35	Gertrude	T
09:10:41	Pierre	T
09:11:02	Gertrude	T
09:11:09	Gavin	H
09:11:25	Gavin	H
09:11:32	Nandi	H
09:11:35	Nandi	T
09:11:42	Helen	H
09:11:47	Philip	T
09:12:01	Philip	H
09:12:18	Kylen	H
09:12:37	Henk	H
09:12:57	Reut	T
09:12:58	Maryann	T
09:13:17	Megan	T
09:13:22	Vuli	H
09:13:33	Philip	T
09:13:36	Amnon	H
09:13:44	Lindsay	T
09:13:46	Steven	H
09:14:00	Pierre	T
09:14:09	Steven	T
09:14:19	Jessica	H
09:14:34	Philip	H
09:14:48	Gertrude	T
09:14:49	Kylen	T
09:15:03	Gavin	H
09:15:08	Reut	T
09:15:16	Gavin	H
09:15:30	Amnon	H
09:15:39	Claire	H
09:15:50	Reut	T
09:16:07	Claire	T
09:16:21	Andrew	H
09:16:38	Gavin	H
09:16:46	Helen	T
09:16:52	Henk	T
09:17:03	Kylen	H
09:17:09	Abe	T
09:17:15	Abe	T
09:17:22	Illana	T
09:17:43	Reut	T
09:17:45	Pierre	H
09:18:01	Amnon	H
09:18:10	Illana	T
09:18:20	Jessica	T
09:18:26	Amnon	T
09:18:33	Steven	T
09:18:41	Helen	T
09:18:42	Gertrude	H
09:19:03	Illana	H
09:19:24	Megan	H
09:19:41	Vuli	H
09:20:01	Nandi	H
09:20:11	Philip	H
09:20:20	Vuli	H
09:20:21	Nandi	T
09:20:40	Henk	H
09:20:45	Kylen	H
09:20:46	Henk	T
09:20:49	Pierre	T
09:21:03	Andrew	H
09:21:10	Philip	H
09:21:21	Nandi	T
09:21:39	Jessica	T
09:21:51	Kylen	H
09:22:06	Gertrude	H
09:22:08	Vuli	H
09:22:21	Pierre	T
09:22:26	Abe	H
09:22:32	Claire	H
09:22:37	Pierre	T
09:22:45	Gertrude	T
09:22:46	Helen	T
09:23:05	Maryann	H
09:23:12	Abe	H
09:23:26	Henk	T
09:23:41	Reut	T
09:23:55	Claire	T
09:24:04	Illana	H
09:24:06	Steven	T
09:24:07	Gavin	H
09:24:12	Pierre	T
09:24:29	Nandi	T
09:24:43	Megan	T
09:24:55	Helen	T
09:25:14	Andrew	T
09:25:36	Maryann	H
09:25:42	Claire	H
09:25:54	Lindsay	T
09:26:10	Amnon	T
09:26:24	Henk	H
09:26:36	Gavin	H
09:26:44	Claire	H
09:27:00	Kylen	T
09:27:06	Vuli	T
09:27:17	Pierre	T
09:27:38	Reut	T
09:27:41	Abe	T
09:27:59	Abe	T
09:28:05	Megan	H
09:28:06	Claire	H
09:28:20	Amnon	T
09:28:37	Kylen	H
09:28:49	Pierre	H
09:28:55	Henk	T
09:28:57	Maryann	T
09:29:18	Gertrude	T
09:29:38	Reut	H
09:29:49	Lindsay	H
09:29:57	Helen	T
09:30:10	Jessica	H
09:30:31	Vuli	H
09:30:41	Abe	T
09:30:48	Steven	T
09:30:49	Megan	H
09:30:50	Megan	H
09:31:07	Abe	H
09:31:13	Jessica	T
09:31:26	Jessica	T
09:31:28	Gavin	T
09:31:38	Andrew	H
09:31:48	Maryann	H
09:31:49	Kylen	T
09:32:06	Steven	T
09:32:26	Abe	T
09:32:44	Illana	H
09:32:51	Helen	T
09:33:09	Reut	T
09:33:13	Jessica	H
09:33:29	Andrew	H
09:33:43	Gertrude	H
09:33:48	Vuli	H
09:34:04	Maryann	T
09:34:13	Steven	T
09:34:20	Gertrude	H
09:34:22	Helen	H
09:34:29	Kylen	T
09:34:42	Steven	H
09:35:00	Jessica	T
09:35:04	Claire	H
09:35:23	Pierre	T
09:35:29	Helen	H
09:35:38	Gertrude	T
09:35:51	Philip	H
09:35:53	Andrew	T
09:36:08	Claire	H
09:36:11	Pierre	T
09:36:19	Abe	H
09:36:23	Philip	H
09:36:24	Pierre	H
09:36:36	Henk	H
09:36:52	Nandi	H
09:37:02	Amnon	H
09:37:23	Helen	T
09:37:40	Amnon	H
09:37:45	Illana	H
09:37:50	Maryann	T
09:38:10	Jessica	H
09:38:26	Kylen	T
09:38:43	Megan	T
09:38:45	Gavin	T
09:38:54	Abe	H
09:39:03	Gavin	H
09:39:09	Nandi	T
09:39:21	Illana	T
09:39:35	Megan	H
09:39:40	Reut	T
09:39:47	Gavin	H
09:40:03	Nandi	T
09:40:24	Gertrude	H
09:40:35	Amnon	T
09:40:36	Kylen	H
09:40:57	Gavin	H
09:41:08	Gertrude	H
09:41:25	Abe	H
09:41:41	Helen	H
09:41:46	Pierre	H
09:42:02	Claire	H
09:42:05	Vuli	H
09:42:24	Helen	T
09:42:40	Steven	H
09:42:41	Vuli	H
09:42:44	Claire	H
09:43:01	Kylen	T
09:43:20	Claire	T
09:43:25	Maryann	H
09:43:28	Lindsay	T
09:43:41	Kylen	H
09:43:54	Philip	T
09:43:56	Steven	H
09:43:59	Illana	H
09:44:08	Andrew	T
09:44:23	Andrew	T
09:44:35	Claire	T
09:44:37	Claire	T
09:44:38	Reut	T
09:44:54	Vuli	H
09:45:03	Pierre	H
09:45:22	Abe	T
09:45:28	Claire	T
09:45:31	Nandi	T
09:45:38	Gertrude	H
09:45:43	Helen	T
09:46:04	Gavin	T
09:46:17	Lindsay	H
09:46:33	Nandi	H
09:46:45	Lindsay	T
09:46:49	Nandi	H
09:47:10	Maryann	T
09:47:12	Philip	H
09:47:28	Pierre	H
09:47:49	Vuli	H
09:47:50	Vuli	T
09:47:57	Henk	H
09:48:04	Kylen	H
09:48:09	Amnon	H
09:48:30	Nandi	H
09:48:43	Gavin	H
09:49:03	Gertrude	T
09:49:10	Pierre	T
09:49:24	Reut	T
09:49:43	Abe	T
09:49:47	Reut	T
09:50:01	Reut	H
09:50:09	Kylen	H
09:50:30	Steven	H
09:50:40	Steven	H
09:50:49	Claire	T
09:50:58	Helen	H
09:51:11	Helen	H
09:51:29	Pierre	H
09:51:39	Helen	H
09:51:45	Maryann	T
09:51:48	Maryann	T
09:52:09	Abe	T
09:52:29	Megan	H
09:52:39	Amnon	T
09:52:44	Philip	T
09:53:03	Abe	H
09:53:19	Lindsay	H
09:53:29	Helen	H
09:53:44	Philip	H
09:53:57	Gavin	H
09:54:18	Nandi	T
09:54:31	Henk	T
09:54:38	Philip	H
09:54:48	Philip	T
09:54:59	Philip	H
09:55:06	Helen	T
09:55:17	Andrew	T
09:55:26	Maryann	T
09:55:35	Gertrude	T
09:55:50	Amnon	H
09:55:57	Pierre	T
09:56:09	Steven	T
09:56:10	Nandi	H
09:56:24	Gertrude	T
09:56:39	Helen	H
09:56:43	Jessica	H
09:56:51	Nandi	T
09:56:56	Vuli	T
09:57:17	Vuli	H
09:57:30	Gavin	T
09:57:44	Abe	H
09:58:05	Philip	T
09:58:07	Steven	H
09:58:26	Lindsay	H
09:58:29	Maryann	T
09:58:42	Lindsay	H
09:58:53	Kylen	H
09:58:59	Gertrude	H
09:59:06	Claire	T
09:59:12	Reut	T
09:59:15	Pierre	H
09:59:17	Steven	H
09:59:27	Reut	H
09:59:31	Steven	H
09:59:43	Vuli	H
10:00:01	Andrew	H
10:00:13	Philip	H
10:00:28	Lindsay	H
10:00:47	Philip	T
10:01:00	Amnon	T
10:01:15	Reut	T
10:01:27	Claire	T
10:01:42	Vuli	H
10:01:55	Steven	T
10:02:07	Jessica	T
10:02:11	Reut	T
10:02:24	Steven	H
10:02:36	Reut	T
10:02:45	Maryann	T
10:03:01	Gavin	T
10:03:06	Vuli	T
10:03:10	Andrew	H
10:03:14	Amnon	T
10:03:29	Claire	T
10:03:48	Gavin	T
10:04:06	Claire	T
10:04:26	Pierre	T
10:04:30	Lindsay	H
10:04:39	Abe	T
10:04:58	Helen	H
10:05:17	Lindsay	H
10:05:31	Claire	H
10:05:36	Vuli	H
10:05:46	Steven	T
10:05:59	Andrew	T
10:06:15	Megan	H
10:06:28	Helen	H
10:06:40	Reut	H
10:06:54	Reut	H
10:07:01	Nandi	H
10:07:14	Claire	T
10:07:21	Steven	H
10:07:41	Jessica	T
10:07:54	Lindsay	T
10:07:59	Vuli	H
10:08:11	Amnon	H
10:08:25	Nandi	T
10:08:30	Vuli	T
10:08:36	Illana	T
10:08:48	Andrew	H
10:09:02	Kylen	T
10:09:18	Vuli	T
10:09:22	Gavin	H
10:09:30	Jessica	T
10:09:38	Steven	H
10:09:46	Vuli	H
10:09:55	Helen	T
10:10:03	Gertrude	T
10:10:20	Nandi	H
10:10:36	Maryann	T
10:10:39	Steven	H
10:10:49	Henk	H
10:10:55	Andrew	H
10:10:58	Helen	H
10:11:19	Claire	T
10:11:31	Vuli	T
10:11:52	Illana	H
10:11:57	Maryann	T
10:12:05	Illana	T
10:12:15	Gavin	H
10:12:26	Claire	T
10:12:31	Andrew	T
10:12:32	Henk	T
10:12:44	Claire	T
10:12:45	Lindsay	H
10:12:46	Nandi	T
10:12:47	Vuli	T
10:12:49	Amnon	T
10:13:09	Vuli	H
10:13:10	Vuli	T
10:13:24	Reut	H
10:13:32	Jessica	H
10:13:45	Pierre	T
10:13:47	Amnon	T
10:13:52	Claire	T
10:14:07	Megan	H
10:14:22	Nandi	H
10:14:43	Vuli	T
10:15:00	Illana	T
10:15:02	Nandi	T
10:15:24	Gertrude	H
10:15:29	Philip	H
10:15:35	Vuli	T
10:15:36	Gavin	H
10:15:45	Amnon	T
10:15:58	Jessica	H
10:16:04	Philip	H
10:16:23	Pierre	T
10:16:33	Steven	T
10:16:36	Andrew	T
10:16:54	Henk	H
10:17:11	Abe	H
10:17:24	Claire	H
10:17:45	Claire	T
10:17:48	Amnon	T
10:18:08	Henk	H
10:18:15	Abe	T
10:18:16	Philip	H
10:18:27	Abe	H
10:18:28	Nandi	T
10:18:41	Megan	T
10:18:56	Megan	H
10:19:01	Henk	T
10:19:09	Amnon	T
10:19:29	Reut	H
10:19:39	Vuli	H
10:19:45	Gavin	T
10:19:54	Andrew	T
10:20:09	Henk	H
10:20:22	Pierre	H
10:20:24	Helen	T
10:20:39	Philip	H
10:20:53	Abe	T
10:21:12	Megan	H
10:21:30	Megan	T
10:21:38	Reut	H
10:21:58	Jessica	T
10:22:05	Gavin	T
10:22:27	Illana	T
10:22:28	Pierre	H
10:22:30	Henk	H
10:22:35	Andrew	T
10:22:42	Reut	T
10:23:01	Reut	H
10:23:16	Henk	H
10:23:34	Abe	H
10:23:38	Philip	H
10:23:50	Pierre	T
10:23:59	Henk	T
10:24:10	Vuli	H
10:24:21	Maryann	T
10:24:36	Maryann	H
10:24:51	Nandi	H
10:24:55	Abe	T
10:25:14	Jessica	T
10:25:20	Pierre	T
10:25:39	Henk	H
10:25:51	Maryann	H
10:26:00	Gavin	T
10:26:04	Steven	T
10:26:20	Amnon	H
10:26:25	Andrew	H
10:26:47	Gavin	H
10:26:48	Lindsay	H
10:26:54	Vuli	H
10:26:59	Maryann	T
10:27:11	Reut	T
10:27:23	Philip	T
10:27:32	Amnon	T
10:27:33	Claire	H
10:27:44	Abe	H
10:27:52	Helen	T
10:28:00	Illana	H
10:28:20	Vuli	H
10:28:30	Illana	H
10:28:50	Andrew	H
10:29:05	Reut	T
10:29:26	Nandi	T
10:29:29	Jessica	T
10:29:41	Steven	H
10:29:54	Abe	T
10:30:09	Claire	T
10:30:29	Philip	H
10:30:36	Abe	H
10:30:54	Helen	H
10:31:11	Philip	T
10:31:31	Amnon	T
10:31:33	Amnon	H
10:31:44	Illana	H
10:32:04	Illana	H
10:32:12	Henk	H
10:32:24	Megan	T
10:32:28	Amnon	T
10:32:48	Gavin	H
10:33:07	Nandi	T
10:33:19	Illana	T
10:33:33	Amnon	H
10:33:45	Illana	T
10:34:05	Abe	H
10:34:22	Amnon	H
10:34:41	Pierre	T
10:34:56	Helen	T
10:35:05	Helen	H
10:35:26	Claire	T
10:35:37	Illana	T
10:35:40	Andrew	H
10:35:48	Kylen	H
10:35:54	Lindsay	T
10:36:12	Megan	T
10:36:26	Megan	H
10:36:44	Jessica	H
10:37:05	Philip	T
10:37:22	Helen	H
10:37:41	Abe	H
10:37:45	Lindsay	T
10:37:51	Maryann	T
10:38:07	Lindsay	T
10:38:08	Gavin	T
10:38:24	Gertrude	T
10:38:31	Gertrude	T
10:38:35	Abe	T
10:38:55	Illana	H
10:38:58	Andrew	T
10:39:19	Henk	H
10:39:25	Philip	T
10:39:38	Lindsay	H
10:39:56	Vuli	T
10:40:11	Andrew	H
10:40:15	Henk	H
10:40:34	Reut	T
10:40:38	Maryann	H
10:40:54	Maryann	H
10:40:58	Gertrude	H
10:41:04	Maryann	T
10:41:14	Jessica	T
10:41:27	Vuli	H
10:41:29	Kylen	T
10:41:32	Pierre	T
10:41:51	Claire	H
10:41:57	Andrew	H
10:42:06	Steven	H
10:42:26	Gertrude	H
10:42:29	Gavin	T
10:42:47	Henk	H
10:42:58	Abe	H
10:43:06	Kylen	T
10:43:25	Steven	T
10:43:28	Helen	H
10:43:43	Henk	T
10:44:00	Kylen	H
10:44:12	Nandi	H
10:44:32	Megan	T
10:44:36	Maryann	T
10:44:56	Andrew	T
10:45:06	Gavin	T
10:45:11	Megan	T
10:45:31	Kylen	T
10:45:32	Henk	T
10:45:46	Steven	T
10:46:02	Reut	H
10:46:12	Henk	H
10:46:24	Henk	H
10:46:40	Megan	H
10:47:01	Philip	H
10:47:02	Henk	H
10:47:14	Maryann	T
10:47:19	Philip	H
10:47:32	Abe	H
10:47:44	Megan	H
10:47:48	Helen	T
10:47:58	Maryann	T
10:48:09	Vuli	H
10:48:26	Gertrude	H
10:48:43	Gavin	H
10:48:57	Nandi	T
10:49:00	Gertrude	T
10:49:10	Abe	T
10:49:16	Nandi	T
10:49:27	Amnon	T
10:49:28	Andrew	T
10:49:39	Megan	H
10:49:46	Philip	H
10:50:05	Steven	H
10:50:14	Helen	T
10:50:27	Pierre	T
10:50:48	Reut	T
10:50:52	Jessica	T
10:51:01	Gavin	H
10:51:07	Reut	H
10:51:15	Steven	H
10:51:35	Andrew	H
10:51:54	Jessica	H
10:52:04	Lindsay	H
10:52:09	Kylen	H
10:52:18	Amnon	H
10:52:22	Gertrude	H
10:52:32	Nandi	T
10:52:47	Reut	H
10:52:48	Steven	H
10:53:06	Gavin	H
10:53:26	Jessica	T
10:53:33	Jessica	T
10:53:44	Lindsay	H
10:53:46	Kylen	T
10:54:04	Illana	H
10:54:23	Illana	T
10:54:33	Lindsay	T
10:54:53	Amnon	T
10:55:04	Philip	H
10:55:18	Lindsay	H
10:55:19	Maryann	H
10:55:26	Lindsay	T
10:55:47	Amnon	T
10:56:06	Kylen	T
10:56:25	Maryann	T
10:56:31	Jessica	H
10:56:36	Gavin	T
10:56:49	Lindsay	T
10:57:09	Claire	T
10:57:15	Lindsay	H
10:57:18	Helen	T
10:57:30	Gavin	H
10:57:39	Abe	H
10:57:53	Nandi	T
10:57:56	Lindsay	H
10:58:09	Nandi	H
10:58:23	Steven	T
10:58:25	Illana	H
10:58:44	Philip	T
10:58:48	Abe	T
10:59:02	Lindsay	T
10:59:21	Vuli	T
10:59:36	Amnon	T
10:59:54	Lindsay	T
11:00:09	Illana	T
11:00:14	Abe	H
11:00:15	Philip	T
11:00:24	Megan	H
11:00:40	Vuli	H
11:00:50	Jessica	H
11:00:55	Megan	T
11:00:57	Abe	H
11:01:18	Megan	T
11:01:21	Amnon	H
11:01:29	Claire	H
11:01:43	Nandi	H
11:01:49	Steven	T
11:01:56	Steven	T
11:02:11	Andrew	H
11:02:26	Lindsay	H
11:02:33	Andrew	T
11:02:49	Illana	H
11:03:06	Pierre	H
11:03:22	Henk	T
11:03:39	Pierre	H
11:03:52	Henk	H
11:04:08	Maryann	T
11:04:25	Henk	H
11:04:38	Andrew	T
11:04:45	Claire	H
11:05:05	Lindsay	H
11:05:16	Steven	H
11:05:18	Steven	H
11:05:39	Nandi	H
11:05:41	Amnon	H
11:06:01	Andrew	T
11:06:18	Henk	T
11:06:38	Reut	T
11:06:47	Andrew	T
11:06:59	Andrew	H
11:07:08	Abe	T
11:07:12	Andrew	H
11:07:33	Amnon	T
11:07:48	Claire	H
11:08:02	Pierre	H
11:08:03	Jessica	H
11:08:21	Andrew	T
11:08:33	Amnon	T
11:08:35	Reut	T
11:08:49	Claire	H
11:09:00	Andrew	H
11:09:14	Pierre	H
11:09:21	Pierre	T
11:09:35	Jessica	T
11:09:46	Kylen	H
11:09:48	Reut	T
11:10:05	Claire	T
11:10:10	Henk	T
11:10:25	Illana	H
11:10:38	Maryann	H
11:10:56	Pierre	H
11:11:11	Steven	T
11:11:31	Kylen	T
11:11:36	Amnon	H
11:11:44	Nandi	H
11:11:45	Nandi	T
11:11:51	Abe	T
11:12:07	Illana	H
11:12:19	Abe	H
11:12:29	Maryann	T
11:12:36	Henk	H
11:12:51	Claire	T
11:13:06	Vuli	T
11:13:10	Reut	H
11:13:19	Amnon	T
11:13:20	Lindsay	H
11:13:22	Henk	T
11:13:35	Claire	T
11:13:37	Pierre	T
11:13:41	Abe	H
11:13:50	Helen	T
11:14:07	Philip	H
11:14:13	Megan	T
11:14:19	Nandi	H
11:14:21	Pierre	H
11:14:38	Megan	H
11:14:43	Kylen	H
11:14:45	Steven	T
11:14:46	Gavin	T
11:14:49	Lindsay	H
11:14:58	Kylen	H
11:15:15	Henk	T
11:15:33	Lindsay	T
11:15:55	Lindsay	T
11:16:05	Gertrude	T
11:16:11	Amnon	T
11:16:15	Andrew	H
11:16:25	Maryann	H
11:16:45	Abe	H
11:17:06	Illana	T
11:17:18	Lindsay	T
11:17:28	Helen	T
11:17:49	Jessica	T
11:18:00	Jessica	H
11:18:12	Jessica	T
11:18:15	Philip	T
11:18:18	Gertrude	T
11:18:23	Pierre	T
11:18:27	Claire	T
11:18:37	Steven	T
11:18:39	Lindsay	T
11:18:48	Steven	T
11:18:54	Helen	H
11:19:09	Megan	T
11:19:15	Megan	H
11:19:36	Pierre	T
11:19:38	Maryann	H
11:19:59	Maryann	T
11:20:08	Steven	H
11:20:13	Reut	H
11:20:19	Lindsay	T
11:20:28	Gertrude	T
11:20:49	Claire	T
11:21:00	Pierre	H
11:21:04	Maryann	H
11:21:18	Megan	H
11:21:32	Jessica	H
11:21:33	Jessica	H
11:21:34	Nandi	H
11:21:48	Abe	H
11:22:05	Abe	T
11:22:10	Gertrude	H
11:22:15	Kylen	H
11:22:18	Kylen	H
11:22:27	Maryann	T
11:22:43	Helen	T
11:23:04	Steven	H
11:23:15	Illana	H
11:23:30	Reut	T
11:23:42	Gavin	H
11:23:58	Henk	H
11:24:03	Gertrude	T
11:24:06	Gavin	H
11:24:18	Henk	T
11:24:28	Illana	T
11:24:44	Helen	H
11:24:48	Claire	H
11:24:58	Lindsay	H
11:25:13	Claire	H
11:25:34	Nandi	H
11:25:49	Reut	H
11:26:03	Steven	H
11:26:17	Jessica	H
11:26:31	Maryann	T
11:26:32	Philip	H
11:26:53	Philip	H
11:26:54	Jessica	T
11:26:57	Pierre	T
11:27:00	Philip	T
11:27:04	Megan	H
11:27:19	Henk	H
11:27:33	Vuli	T
11:27:47	Megan	T
11:27:58	Maryann	H
11:28:19	Henk	H
11:28:30	Maryann	H
11:28:51	Gavin	T
11:28:58	Helen	T
11:29:01	Nandi	T
11:29:16	Gavin	T
11:29:33	Megan	H
11:29:42	Maryann	T
11:29:43	Maryann	T
11:29:44	Maryann	T
11:29:58	Amnon	T
11:30:13	Philip	H
11:30:18	Abe	H
11:30:29	Gavin	H
11:30:43	Kylen	H
11:30:54	Kylen	H
11:30:55	Philip	T
